date,day_of_week,is_holiday,is_week_end,is_work
2013/6/28,5,0,1,1
2013/6/29,6,0,0,0
2013/6/30,7,0,0,0
2013/7/1,1,0,1,1
2013/7/2,2,0,1,1
2013/7/3,3,0,1,1
2013/7/4,4,0,1,1
2013/7/5,5,0,1,1
2013/7/6,6,0,0,0
2013/7/7,7,0,0,0
2013/7/8,1,0,1,1
2013/7/9,2,0,1,1
2013/7/10,3,0,1,1
2013/7/11,4,0,1,1
2013/7/12,5,0,1,1
2013/7/13,6,0,0,0
2013/7/14,7,0,0,0
2013/7/15,1,0,1,1
2013/7/16,2,0,1,1
2013/7/17,3,0,1,1
2013/7/18,4,0,1,1
2013/7/19,5,0,1,1
2013/7/20,6,0,0,0
2013/7/21,7,0,0,0
2013/7/22,1,0,1,1
2013/7/23,2,0,1,1
2013/7/24,3,0,1,1
2013/7/25,4,0,1,1
2013/7/26,5,0,1,1
2013/7/27,6,0,0,0
2013/7/28,7,0,0,0
2013/7/29,1,0,1,1
2013/7/30,2,0,1,1
2013/7/31,3,0,1,1
2013/8/1,4,0,1,1
2013/8/2,5,0,1,1
2013/8/3,6,0,0,0
2013/8/4,7,0,0,0
2013/8/5,1,0,1,1
2013/8/6,2,0,1,1
2013/8/7,3,0,1,1
2013/8/8,4,0,1,1
2013/8/9,5,0,1,1
2013/8/10,6,0,0,0
2013/8/11,7,0,0,0
2013/8/12,1,0,1,1
2013/8/13,2,0,1,1
2013/8/14,3,0,1,1
2013/8/15,4,0,1,1
2013/8/16,5,0,1,1
2013/8/17,6,0,0,0
2013/8/18,7,0,0,0
2013/8/19,1,0,1,1
2013/8/20,2,0,1,1
2013/8/21,3,0,1,1
2013/8/22,4,0,1,1
2013/8/23,5,0,1,1
2013/8/24,6,0,0,0
2013/8/25,7,0,0,0
2013/8/26,1,0,1,1
2013/8/27,2,0,1,1
2013/8/28,3,0,1,1
2013/8/29,4,0,1,1
2013/8/30,5,0,1,1
2013/8/31,6,0,0,0
2013/9/1,7,0,0,0
2013/9/2,1,0,1,1
2013/9/3,2,0,1,1
2013/9/4,3,0,1,1
2013/9/5,4,0,1,1
2013/9/6,5,0,1,1
2013/9/7,6,0,0,0
2013/9/8,7,0,0,0
2013/9/9,1,0,1,1
2013/9/10,2,0,1,1
2013/9/11,3,0,1,1
2013/9/12,4,0,1,1
2013/9/13,5,0,1,1
2013/9/14,6,0,0,0
2013/9/15,7,0,0,0
2013/9/16,1,0,1,1
2013/9/17,2,0,1,1
2013/9/18,3,0,1,1
2013/9/19,4,1,1,0
2013/9/20,5,1,1,0
2013/9/21,6,1,0,0
2013/9/22,7,0,0,1
2013/9/23,1,0,1,1
2013/9/24,2,0,1,1
2013/9/25,3,0,1,1
2013/9/26,4,0,1,1
2013/9/27,5,0,1,1
2013/9/28,6,0,0,0
2013/9/29,7,0,0,1
2013/9/30,1,0,1,1
2013/10/1,2,1,1,0
2013/10/2,3,1,1,0
2013/10/3,4,1,1,0
2013/10/4,5,1,1,0
2013/10/5,6,1,0,0
2013/10/6,7,1,0,0
2013/10/7,1,1,1,0
2013/10/8,2,0,1,1
2013/10/9,3,0,1,1
2013/10/10,4,0,1,1
2013/10/11,5,0,1,1
2013/10/12,6,0,0,1
2013/10/13,7,0,0,0
2013/10/14,1,0,1,1
2013/10/15,2,0,1,1
2013/10/16,3,0,1,1
2013/10/17,4,0,1,1
2013/10/18,5,0,1,1
2013/10/19,6,0,0,0
2013/10/20,7,0,0,0
2013/10/21,1,0,1,1
2013/10/22,2,0,1,1
2013/10/23,3,0,1,1
2013/10/24,4,0,1,1
2013/10/25,5,0,1,1
2013/10/26,6,0,0,0
2013/10/27,7,0,0,0
2013/10/28,1,0,1,1
2013/10/29,2,0,1,1
2013/10/30,3,0,1,1
2013/10/31,4,0,1,1
2013/11/1,5,0,1,1
2013/11/2,6,0,0,0
2013/11/3,7,0,0,0
2013/11/4,1,0,1,1
2013/11/5,2,0,1,1
2013/11/6,3,0,1,1
2013/11/7,4,0,1,1
2013/11/8,5,0,1,1
2013/11/9,6,0,0,0
2013/11/10,7,0,0,0
2013/11/11,1,0,1,1
2013/11/12,2,0,1,1
2013/11/13,3,0,1,1
2013/11/14,4,0,1,1
2013/11/15,5,0,1,1
2013/11/16,6,0,0,0
2013/11/17,7,0,0,0
2013/11/18,1,0,1,1
2013/11/19,2,0,1,1
2013/11/20,3,0,1,1
2013/11/21,4,0,1,1
2013/11/22,5,0,1,1
2013/11/23,6,0,0,0
2013/11/24,7,0,0,0
2013/11/25,1,0,1,1
2013/11/26,2,0,1,1
2013/11/27,3,0,1,1
2013/11/28,4,0,1,1
2013/11/29,5,0,1,1
2013/11/30,6,0,0,0
2013/12/1,7,0,0,0
2013/12/2,1,0,1,1
2013/12/3,2,0,1,1
2013/12/4,3,0,1,1
2013/12/5,4,0,1,1
2013/12/6,5,0,1,1
2013/12/7,6,0,0,0
2013/12/8,7,0,0,0
2013/12/9,1,0,1,1
2013/12/10,2,0,1,1
2013/12/11,3,0,1,1
2013/12/12,4,0,1,1
2013/12/13,5,0,1,1
2013/12/14,6,0,0,0
2013/12/15,7,0,0,0
2013/12/16,1,0,1,1
2013/12/17,2,0,1,1
2013/12/18,3,0,1,1
2013/12/19,4,0,1,1
2013/12/20,5,0,1,1
2013/12/21,6,0,0,0
2013/12/22,7,0,0,0
2013/12/23,1,0,1,1
2013/12/24,2,0,1,1
2013/12/25,3,0,1,1
2013/12/26,4,0,1,1
2013/12/27,5,0,1,1
2013/12/28,6,0,0,0
2013/12/29,7,0,0,0
2013/12/30,1,0,1,1
2013/12/31,2,0,1,1
2014/1/1,3,1,1,0
2014/1/2,4,0,1,1
2014/1/3,5,0,1,1
2014/1/4,6,0,0,0
2014/1/5,7,0,0,0
2014/1/6,1,0,1,1
2014/1/7,2,0,1,1
2014/1/8,3,0,1,1
2014/1/9,4,0,1,1
2014/1/10,5,0,1,1
2014/1/11,6,0,0,0
2014/1/12,7,0,0,0
2014/1/13,1,0,1,1
2014/1/14,2,0,1,1
2014/1/15,3,0,1,1
2014/1/16,4,0,1,1
2014/1/17,5,0,1,1
2014/1/18,6,0,0,0
2014/1/19,7,0,0,0
2014/1/20,1,0,1,1
2014/1/21,2,0,1,1
2014/1/22,3,0,1,1
2014/1/23,4,0,1,1
2014/1/24,5,0,1,1
2014/1/25,6,0,0,0
2014/1/26,7,0,0,1
2014/1/27,1,0,1,1
2014/1/28,2,0,1,1
2014/1/29,3,0,1,1
2014/1/30,4,0,1,1
2014/1/31,5,1,1,0
2014/2/1,6,1,0,0
2014/2/2,7,1,0,0
2014/2/3,1,1,1,0
2014/2/4,2,1,1,0
2014/2/5,3,1,1,0
2014/2/6,4,1,1,0
2014/2/7,5,0,1,1
2014/2/8,6,0,0,1
2014/2/9,7,0,0,0
2014/2/10,1,0,1,1
2014/2/11,2,0,1,1
2014/2/12,3,0,1,1
2014/2/13,4,0,1,1
2014/2/14,5,0,1,1
2014/2/15,6,0,0,0
2014/2/16,7,0,0,0
2014/2/17,1,0,1,1
2014/2/18,2,0,1,1
2014/2/19,3,0,1,1
2014/2/20,4,0,1,1
2014/2/21,5,0,1,1
2014/2/22,6,0,0,0
2014/2/23,7,0,0,0
2014/2/24,1,0,1,1
2014/2/25,2,0,1,1
2014/2/26,3,0,1,1
2014/2/27,4,0,1,1
2014/2/28,5,0,1,1
2014/3/1,6,0,0,0
2014/3/2,7,0,0,0
2014/3/3,1,0,1,1
2014/3/4,2,0,1,1
2014/3/5,3,0,1,1
2014/3/6,4,0,1,1
2014/3/7,5,0,1,1
2014/3/8,6,0,0,0
2014/3/9,7,0,0,0
2014/3/10,1,0,1,1
2014/3/11,2,0,1,1
2014/3/12,3,0,1,1
2014/3/13,4,0,1,1
2014/3/14,5,0,1,1
2014/3/15,6,0,0,0
2014/3/16,7,0,0,0
2014/3/17,1,0,1,1
2014/3/18,2,0,1,1
2014/3/19,3,0,1,1
2014/3/20,4,0,1,1
2014/3/21,5,0,1,1
2014/3/22,6,0,0,0
2014/3/23,7,0,0,0
2014/3/24,1,0,1,1
2014/3/25,2,0,1,1
2014/3/26,3,0,1,1
2014/3/27,4,0,1,1
2014/3/28,5,0,1,1
2014/3/29,6,0,0,0
2014/3/30,7,0,0,0
2014/3/31,1,0,1,1
2014/4/1,2,0,1,1
